NODEID,crash_count,total_killed,total_injured,severity_score,severity_score_norm,intersection_name,latitude,longitude
45386,470,0.0,186.0,186.49611817285987,0.372974135680706,65 PLACE & BROOKLYN QUEENS EP WB ET 39 W & QUEENS BOULEVARD,40.74089483571651,-73.89960577757512
44683,262,1.0,149.0,186.40499597251045,0.37279188445521233,UNIVERSITY AVENUE & WEST 179 STREET & WEST BURNSIDE AVENUE,40.85482229385577,-73.91119580595806
19030,360,0.0,149.0,185.74291843578297,0.37146767979402445,FULTON STREET & FULTON STREET LINE & NOSTRAND AVENUE,40.680390402659015,-73.94955688679963
20673,547,1.0,185.0,185.16597139803864,0.37031374250683613,6 AVENUE LINE & CHRYSTIE STREET & DELANCEY STREET & NASSAU STREET LINE,40.71997215142069,-73.99289577917772
43300,320,0.0,159.0,184.7507981107709,0.36948336483699695,3 AVENUE & EAST 163 STREET,40.824066634892944,-73.90870859180431
43947,413,1.0,162.0,184.26051804698284,0.3685027679888322,CONCOURSE VILLAGE EAST & EAST 161 STREET & MORRIS AVENUE,40.82557716292236,-73.91845629681576
26215,397,0.0,193.0,183.450307140186,0.36688228549273555,CHURCH AVENUE & UTICA AVENUE,40.65173405423814,-73.93038144303041
48616,312,2.0,113.0,182.29652820545738,0.3645746412085028,BROADWAY & IRT-1-BROADWAY/ 7 AVENUE LINE & WEST 230 STREET,40.87710481544722,-73.90615158675756
9036157,259,1.0,128.0,181.75361140151773,0.36348876693769205,BUSHWICK AVENUE & EASTERN PARKWAY & VANDERVEER STREET,40.68151453447277,-73.90411635039487
26263,282,1.0,200.0,180.24680100008285,0.3604750332789895,AVENUE D & KINGS HIGHWAY,40.64238453132882,-73.92538233141782
42968,414,0.0,170.0,179.43550549302702,0.3588523815011414,BRUCKNER BOULEVARD & ST ANNS AVENUE,40.803592305573545,-73.91978018862831
59760,378,3.0,127.0,178.89818163802406,0.35777769354710004,LONG ISLAND EXPRESSWAY,40.744678609507396,-73.77033743416871
95150,396,1.0,100.0,177.391254578961,0.3547637265644038,BROOKLYN QUEENS EXPRESSWAY & MIDDAGH STREET,40.70082975871767,-73.99494340145785
