NODEID,crash_count,total_killed,total_injured,severity_score,severity_score_norm,intersection_name,latitude,longitude
44700,572,0.0,273.0,483.8307194965415,1.0,MAJOR DEEGAN EXPRESSWAY & WEST FORDHAM ROAD,40.861863395334005,-73.91273767209096
26912,833,0.0,401.0,477.63406608746294,0.9871920850938363,BUFFALO AVENUE & EASTERN PARKWAY & EASTERN PARKWAY LINE,40.66850473167622,-73.92560685904829
29303,1066,1.0,378.0,443.7798326849063,0.9172184861189299,ATLANTIC AVENUE & FULTON STREET LINE & PENNSYLVANIA AVENUE,40.67573580228124,-73.8968520254765
28915,987,2.0,446.0,432.35627841170424,0.8936070459756492,LINDEN BOULEVARD & PENNSYLVANIA AVENUE,40.65857592230419,-73.8906214442642
95822,535,2.0,293.0,366.8080309907733,0.7581248235900203,BELT PARKWAY & DISTRICT BOUNDARY,40.64261092968749,-73.87647147102096
40452,380,0.0,228.0,365.53476568459683,0.7554931008490668,CROSS ISLAND PARKWAY & HEMPSTEAD AVENUE,40.711218091086,-73.72826052645621
15968,1422,1.0,286.0,353.75439332661125,0.7311441504135062,FLATBUSH AVENUE EXTENSION & TILLARY STREET,40.696034871902974,-73.98452984432862
9065197,288,1.0,185.0,339.2135659877582,0.7010895924244477,BRUCKNER EXPRESSWAY WB EXIT 48 & BRUCKNER EXPWY WB EN LEGGETT AVE & LEGGETT AVENUE,40.81309414962287,-73.89825547733611
47365,298,0.0,184.0,332.17078956280443,0.6865328187598453,2020 CB BOUNDARY & BRUCKNER BOULEVARD & LONGWOOD AVENUE,40.815753941201194,-73.89527676395855
29756,751,0.0,331.0,314.106626300056,0.6491958481974182,ATLANTIC AVENUE & LOGAN STREET,40.6800137984357,-73.87742692576222
29315,692,0.0,303.0,304.88709650485936,0.6301399247341631,JACKIE ROBINSON PARKWAY & JAMAICA AVENUE & PENNSYLVANIA AVENUE,40.67816265847147,-73.89747549602997
44120,389,1.0,187.0,293.9207811923057,0.6074735556337759,CROSS BRONX EP SB EN JEROME AV & CROSS BRONX EXPRESSWAY & JEROME AVENUE & JEROME AVENUE LINE,40.84517723175043,-73.91416059237181
26911,483,0.0,320.0,289.1037793951788,0.5975172542162963,EASTERN PARKWAY & EASTERN PARKWAY LINE & ROCHESTER AVENUE,40.6686466779335,-73.92834970165664
28640,536,1.0,276.0,280.90081652529665,0.5805624814575123,LINDEN BOULEVARD & ROCKAWAY AVENUE,40.65473789507456,-73.90692343486297
9035729,711,0.0,226.0,277.82244218501074,0.5741997637134579,VAN WYCK EXPRESSWAY,40.704533255374926,-73.81743244053163
43732,672,0.0,238.0,272.47864955979054,0.563154633914891,AMSTERDAM AVENUE & BIKE PATH & WASHINGTON BRIDGE & WEST 181 STREET,40.848118456757646,-73.93088410879821
27279,677,0.0,290.0,272.384959744479,0.5629609856497925,ATLANTIC AVENUE & EASTERN PARKWAY,40.6761887609971,-73.90808823036745
9031585,521,0.0,203.0,268.5391385774112,0.5550120256224393,BRUCKNER BOULEVARD & HUNTS POINT AVENUE,40.820188642725086,-73.89067687323144
26863,639,2.0,299.0,268.0172637648997,0.5539333581951914,EASTERN PARKWAY & EASTERN PARKWAY LINE & UTICA AVENUE,40.66879803121869,-73.93111940438195
99005,178,0.0,112.0,267.6187523505004,0.5531096716102223,BRUCKNER BOULEVARD & EAST 138 STREET,40.80458585331059,-73.91212479596261
27050,531,0.0,279.0,263.2415374747665,0.5440623694693187,DISTRICT BOUNDARY & EASTERN PARKWAY & HOWARD AVENUE,40.6694758393881,-73.91996594288929
28567,340,0.0,155.0,257.3117774671346,0.5318060987731955,ROCKAWAY PARKWAY & SHORE PARKWAY,40.63082029604862,-73.88635730513982
19489,388,0.0,213.0,254.1474237156055,0.5252656694628831,BROOKLYN QUEENS EXPRESSWAY & KENT AVENUE,40.699983027918705,-73.96179602096797
100364,326,0.0,147.0,252.31265276425,0.5214733659942344,LONG ISLAND EXPRESSWAY,40.76430385340805,-73.72305872341367
18971,586,2.0,228.0,249.24419551524025,0.5151311459693191,ATLANTIC AVENUE & BEDFORD AVENUE & LIRR ATLANTIC LINE,40.67872150324123,-73.9529866994867
41385,660,1.0,189.0,245.3817319736067,0.5071477876783866,2000 CB BOUNDARY & 2010 CB BOUNDARY & BIKE PATH & FLUSHING LINE & JACKSON AVENUE & QUEENS BOULEVARD & QUEENS BOULEVARD LINE & QUEENS PLAZA & QUEENS PLAZA EAST & QUEENS PLAZA SOUTH,40.74891576196991,-73.93739634564811
81690,432,0.0,220.0,245.310544408498,0.507000649502972,BELT PARKWAY & BELT PARKWAY EXIT 21 B EB,40.667262505876096,-73.77017094398308
7442,505,1.0,185.0,242.57786849834304,0.5013524587437291,HYLAN BOULEVARD & NEW DORP LANE,40.57046622677408,-74.10976189556995
29632,310,3.0,202.0,240.54687787166927,0.4971545871823565,ASHFORD STREET & LINDEN BOULEVARD,40.66278070232513,-73.88085407432897
54159,519,1.0,207.0,240.09936858102355,0.49622962647599994,EAST 233 STREET & WEBSTER AVENUE,40.895376554037625,-73.86355910107727
36072,663,1.0,310.0,238.7244015204304,0.49338769552581085,FARMERS BOULEVARD & NASSAU EXPRESSWAY & ROCKAWAY BOULEVARD,40.659650394473594,-73.77382994383255
42540,680,1.0,197.0,237.9759365092701,0.4918406869164319,2 AVENUE & EAST 125 STREET & RFK BRDG ET 125 STREET 2 AVE,40.80275160618931,-73.9335762555831
29361,389,1.0,203.0,237.53806267564394,0.4909356418170073,PENNSYLVANIA AVENUE & PITKIN AVENUE,40.67189225993212,-73.89586731174381
42863,412,2.0,220.0,236.6754929268602,0.4891527891683715,EAST 149 STREET & GRAND CONCOURSE & JEROME AVENUE LINE & WHITE PLAINS ROAD LINE,40.81855908061642,-73.92731634613936
26801,475,4.0,249.0,236.29347146930573,0.4883631858135159,EASTERN PARKWAY & EASTERN PARKWAY LINE & SCHENECTADY AVENUE,40.6689499392908,-73.93388775899123
49100,450,1.0,194.0,235.74046109430992,0.48722016403101714,EAST FORDHAM ROAD & SOUTHERN BOULEVARD,40.85712694080433,-73.88079142110604
36094,612,9.0,356.0,232.11617514754636,0.47972909700865557,150 ROAD & GUY R BREWER BOULEVARD & NORTH BOUNDARY ROAD & ROCKAWAY BOULEVARD,40.656159353566096,-73.76735305209345
89767,393,3.0,201.0,230.9334108644091,0.4772844315913067,CROSS BRONX EXPRESSWAY & GRAND CONCOURSE,40.84518936820667,-73.91122705508626
52651,473,1.0,129.0,230.20259678629105,0.4757739058434814,BRUCKNER BOULEVARD & WHITE PLAINS ROAD,40.82627676332184,-73.85970332270726
85527,356,0.0,185.0,229.4952447401858,0.47431187396641306,BROOKLYN QUEENS EXPRESSWAY,40.702720143989026,-73.96049025082701
26756,355,2.0,188.0,228.377191073862,0.4720009594657215,EASTERN PARKWAY & EASTERN PARKWAY LINE & TROY AVENUE,40.66910006937185,-73.93665703849021
83264,443,0.0,210.0,227.11755032321636,0.46939739743287184,2000 CB BOUNDARY & GRAND CENTRAL PARKWAY,40.72543319977049,-73.83776868401533
48899,545,0.0,231.0,226.27284006577779,0.4676514587166954,EAST FORDHAM ROAD & WEBSTER AVENUE,40.861700052575806,-73.89138008928448
27203,482,3.0,265.0,225.9832843073618,0.4670529734909527,ATLANTIC AVENUE & LIRR ATLANTIC LINE & ROCKAWAY AVENUE,40.676343878469346,-73.91092603987107
70898,370,1.0,182.0,221.6134885277515,0.45802100594205536,ATLANTIC AVENUE & LIRR ATLANTIC LINE & UTICA AVENUE,40.6774125057062,-73.93031763191614
40382,189,0.0,120.0,215.51948145610498,0.4454252516116845,CROSS ISLAND PARKWAY & CROSS ISLAND PY SB EN LINDEN BL & LINDEN BOULEVARD,40.69077832607768,-73.72727250014924
25714,529,5.0,180.0,215.34212139847256,0.445058664620942,AVENUE U & FLATBUSH AVENUE,40.60980868438989,-73.9224976984657
95383,571,0.0,191.0,214.50725489959532,0.4433330720519013,ATLANTIC AVENUE & BROOKLYN QUEENS EXPWY WB ET 27,40.69161264725367,-73.99936528207074
15849,421,0.0,146.0,212.3036268271014,0.43877837470575226,ADAMS STREET & BROOKLYN BRIDGE PEDESTRIAN PATH & TILLARY STREET,40.69619753526721,-73.98876429202676
100527,265,0.0,146.0,210.47835744384525,0.43500571010790334,BRUCKNER BOULEVARD & TIFFANY STREET,40.8177950144525,-73.89318350577172
53407,297,0.0,172.0,210.45291704857627,0.43495312714153844,BRONX RIVER PARKWAY & EAST GUN HILL ROAD,40.87828983568269,-73.87005977983193
18574,634,2.0,189.0,210.35486555704068,0.43475046369126863,ATLANTIC AVENUE & EASTERN PARKWAY LINE & FLATBUSH AVENUE,40.684051829768116,-73.97745714888742
99036,404,1.0,183.0,210.3385162101871,0.4347166710891255,CROSS ISLAND PARKWAY,40.711013333368584,-73.72808568262751
41235,116,1.0,95.0,210.12347787266378,0.4342722065456468,BORDEN AVENUE & MAURICE AVENUE & QUEENS MIDTOWN EXPRESSWAY SR S,40.7272080505852,-73.9074098776381
48586,427,0.0,203.0,209.2014986103782,0.43236655987525197,DEVOE PARK PATH & UNIVERSITY AVENUE & WEST FORDHAM ROAD,40.862749069274116,-73.90493369778115
26844,351,1.0,173.0,209.03359480750441,0.43201951809678524,EAST NEW YORK AVENUE & REMSEN AVENUE & UTICA AVENUE,40.66322994637529,-73.93160222650826
18889,441,0.0,226.0,203.6735464007575,0.4209407890870339,BEDFORD AVENUE & EASTERN PARKWAY & EASTERN PARKWAY LINE,40.670124436251776,-73.95526962878002
48666,405,2.0,191.0,202.95495826718354,0.419455533246533,EAST FORDHAM ROAD & JEROME AVENUE & JEROME AVENUE LINE & WEST FORDHAM ROAD,40.862755870719695,-73.901079512892
84538,360,1.0,181.0,202.58502878279165,0.4186909228924295,CROSS BRONX EXPRESSWAY & CROSS BRONX EXPWY EB ET 2 A & CT BOUNDARY,40.84507026128123,-73.91684292075016
50233,400,1.0,114.0,201.2841677217205,0.41600216225422254,108 STREET & HORACE HARDING EXPRESSWAY,40.737681346001864,-73.85204765433984
49295,642,2.0,211.0,201.01199743998492,0.4154396112160527,EAST GUN HILL ROAD & WEBSTER AVENUE,40.87864565769907,-73.87159652192072
